provider,strategy,dataset_type,language,lang_mismatch_pct
groq,prefix_suffix,specific,de,0.0
groq,prefix_suffix,specific,es,0.0
groq,prefix_suffix,specific,fr,0.0
groq,prefix_suffix,unspecific,de,0.0
groq,prefix_suffix,unspecific,en,0.0
groq,prefix_suffix,unspecific,es,0.0
groq,prefix_suffix,unspecific,fr,0.0
groq,prefix_suffix,unspecific,it,0.0
groq,vanilla,specific,de,0.2
groq,vanilla,specific,en,0.1
groq,vanilla,specific,es,0.3
groq,vanilla,specific,fr,0.1
groq,vanilla,specific,it,0.2
groq,vanilla,unspecific,de,0.0
groq,vanilla,unspecific,en,0.0
groq,vanilla,unspecific,es,0.0
groq,vanilla,unspecific,fr,0.0
groq,vanilla,unspecific,it,0.0
qwen_ollama,prefix_suffix,specific,de,0.2
qwen_ollama,prefix_suffix,specific,en,0.0
qwen_ollama,prefix_suffix,specific,es,1.7
qwen_ollama,prefix_suffix,specific,fr,0.0
qwen_ollama,prefix_suffix,specific,it,0.2
qwen_ollama,prefix_suffix,unspecific,de,0.0
qwen_ollama,prefix_suffix,unspecific,en,0.0
qwen_ollama,prefix_suffix,unspecific,es,1.0
qwen_ollama,prefix_suffix,unspecific,fr,0.0
qwen_ollama,prefix_suffix,unspecific,it,0.0
qwen_ollama,vanilla,specific,de,0.2
qwen_ollama,vanilla,specific,en,0.1
qwen_ollama,vanilla,specific,es,5.1
qwen_ollama,vanilla,specific,fr,0.4
qwen_ollama,vanilla,specific,it,7.1
qwen_ollama,vanilla,unspecific,de,0.0
qwen_ollama,vanilla,unspecific,en,0.0
qwen_ollama,vanilla,unspecific,es,2.0
qwen_ollama,vanilla,unspecific,fr,0.0
qwen_ollama,vanilla,unspecific,it,1.0
