provider,model,strategy,dataset_type,language,n,empty_pct,avg_words,median_words,too_long_pct,mentions_country_pct,vague_kw_pct,stereotype_kw_pct,lang_mismatch_pct
groq,llama-3.1-8b-instant,prefix_suffix,specific,de,4140,0.14,27.93,28.0,3.48,7.51,0.0,0.12,0.02
groq,llama-3.1-8b-instant,prefix_suffix,specific,es,4140,0.51,27.39,28.0,1.79,15.36,1.47,3.14,0.05
groq,llama-3.1-8b-instant,prefix_suffix,specific,fr,4140,0.0,28.6,28.0,3.77,2.56,0.48,16.18,0.02
groq,llama-3.1-8b-instant,prefix_suffix,unspecific,de,101,0.0,30.62,30.0,15.84,0.0,0.0,0.0,0.0
groq,llama-3.1-8b-instant,prefix_suffix,unspecific,en,101,0.0,26.22,26.0,1.98,0.0,1.98,14.85,0.0
groq,llama-3.1-8b-instant,prefix_suffix,unspecific,es,101,0.0,28.66,29.0,5.94,0.0,0.99,3.96,0.0
groq,llama-3.1-8b-instant,prefix_suffix,unspecific,fr,101,0.0,29.51,29.0,5.94,0.0,0.99,14.85,0.0
groq,llama-3.1-8b-instant,prefix_suffix,unspecific,it,101,0.0,29.94,29.0,3.96,0.0,1.98,4.95,0.0
groq,llama-3.1-8b-instant,vanilla,specific,de,4140,0.36,36.94,36.0,33.21,6.04,0.0,0.12,0.17
groq,llama-3.1-8b-instant,vanilla,specific,en,4140,0.12,30.83,30.0,5.43,4.88,0.99,16.11,0.07
groq,llama-3.1-8b-instant,vanilla,specific,es,4140,0.14,34.63,34.0,19.28,17.68,2.05,3.94,0.27
groq,llama-3.1-8b-instant,vanilla,specific,fr,4140,0.0,33.12,32.0,12.08,2.13,0.07,15.77,0.1
groq,llama-3.1-8b-instant,vanilla,specific,it,4140,0.0,30.14,29.0,5.31,5.53,2.1,5.39,0.22
groq,llama-3.1-8b-instant,vanilla,unspecific,de,101,0.0,40.43,40.0,51.49,0.0,0.0,0.0,0.0
groq,llama-3.1-8b-instant,vanilla,unspecific,en,101,0.0,34.57,34.0,14.85,0.0,2.97,17.82,0.0
groq,llama-3.1-8b-instant,vanilla,unspecific,es,101,0.0,35.73,34.0,23.76,0.0,2.97,2.97,0.0
groq,llama-3.1-8b-instant,vanilla,unspecific,fr,101,0.0,35.31,35.0,16.83,0.0,0.0,18.81,0.0
groq,llama-3.1-8b-instant,vanilla,unspecific,it,101,0.0,31.77,31.0,13.86,0.0,1.98,3.96,0.0
qwen_ollama,qwen2.5:3b,prefix_suffix,specific,de,4140,0.0,17.15,17.0,0.77,20.8,0.0,0.0,0.19
qwen_ollama,qwen2.5:3b,prefix_suffix,specific,en,4140,0.0,20.41,20.0,0.17,16.35,0.17,13.84,0.05
qwen_ollama,qwen2.5:3b,prefix_suffix,specific,es,4140,0.0,14.02,14.0,0.0,10.48,0.29,3.31,1.74
qwen_ollama,qwen2.5:3b,prefix_suffix,specific,fr,4140,0.0,16.19,16.0,0.1,11.84,0.1,9.08,0.0
qwen_ollama,qwen2.5:3b,prefix_suffix,specific,it,4140,0.0,13.97,14.0,0.05,6.33,2.32,4.78,0.17
qwen_ollama,qwen2.5:3b,prefix_suffix,unspecific,de,101,0.0,16.89,16.0,0.0,0.0,0.0,0.0,0.0
qwen_ollama,qwen2.5:3b,prefix_suffix,unspecific,en,101,0.0,21.26,21.0,0.0,0.0,1.98,16.83,0.0
qwen_ollama,qwen2.5:3b,prefix_suffix,unspecific,es,101,0.0,12.78,13.0,0.0,0.0,0.99,2.97,0.99
qwen_ollama,qwen2.5:3b,prefix_suffix,unspecific,fr,101,0.0,15.93,15.0,0.0,0.0,1.98,11.88,0.0
qwen_ollama,qwen2.5:3b,prefix_suffix,unspecific,it,101,0.0,12.31,12.0,0.99,0.0,0.99,4.95,0.0
qwen_ollama,qwen2.5:3b,vanilla,specific,de,4140,0.0,26.31,24.0,12.42,35.53,0.0,0.0,0.17
qwen_ollama,qwen2.5:3b,vanilla,specific,en,4140,0.0,26.05,26.0,2.44,18.94,1.16,17.39,0.1
qwen_ollama,qwen2.5:3b,vanilla,specific,es,4140,0.0,31.53,29.0,22.63,26.88,1.11,6.4,5.12
qwen_ollama,qwen2.5:3b,vanilla,specific,fr,4145,0.0,27.06,26.0,10.83,23.69,0.14,16.26,0.36
qwen_ollama,qwen2.5:3b,vanilla,specific,it,4140,0.0,22.09,21.0,3.94,9.93,2.1,5.7,7.13
qwen_ollama,qwen2.5:3b,vanilla,unspecific,de,101,0.0,21.13,20.0,1.98,0.0,0.0,0.0,0.0
qwen_ollama,qwen2.5:3b,vanilla,unspecific,en,101,0.0,27.5,26.0,4.95,0.0,1.98,17.82,0.0
qwen_ollama,qwen2.5:3b,vanilla,unspecific,es,101,0.0,23.71,23.0,1.98,0.0,0.99,4.95,1.98
qwen_ollama,qwen2.5:3b,vanilla,unspecific,fr,101,0.0,27.95,26.0,10.89,0.0,1.98,20.79,0.0
qwen_ollama,qwen2.5:3b,vanilla,unspecific,it,101,0.0,22.89,22.0,1.98,0.0,3.96,14.85,0.99
